index,team_name,team_name_abb,match_date,vs_or_at,opp_team_abb,opp_team_img_url,finished,w_or_l,score_team,score_opp,league
121,tottenham-hotspur,TOT,9/14,VS,CP,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/7131.vresize.36.36.medium.0.png,True,W,4,0,EPL
122,tottenham-hotspur,TOT,9/18,AT,OLY,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/europa/6449.vresize.36.36.medium.0.png,True,D,2,2,UCL
123,tottenham-hotspur,TOT,9/21,AT,LEI,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/7127.vresize.36.36.medium.0.png,True,L,1,2,EPL
124,tottenham-hotspur,TOT,9/24,AT,COL,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engl1/8242.vresize.36.36.medium.0.png,True,D,0,0,Lg Cup
125,tottenham-hotspur,TOT,9/28,VS,SHN,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/7128.vresize.36.36.medium.0.png,False,,,,EPL
126,tottenham-hotspur,TOT,10/1,VS,MUN,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/6123.vresize.36.36.medium.0.png,False,,,,UCL
127,tottenham-hotspur,TOT,10/5,AT,BHA,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engch/8257.vresize.36.36.medium.0.png,False,,,,EPL
128,tottenham-hotspur,TOT,10/19,VS,WAT,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engch/6148.vresize.36.36.medium.0.png,False,,,,EPL
129,tottenham-hotspur,TOT,10/22,VS,RSB,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/ucl/7486.vresize.36.36.medium.0.png,False,,,,UCL
130,tottenham-hotspur,TOT,10/27,AT,LIV,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6140.vresize.36.36.medium.0.png,False,,,,EPL
131,tottenham-hotspur,TOT,11/2,AT,EVE,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6149.vresize.36.36.medium.0.png,False,,,,EPL
132,tottenham-hotspur,TOT,11/6,AT,RSB,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/ucl/7486.vresize.36.36.medium.0.png,False,,,,UCL
133,tottenham-hotspur,TOT,11/9,VS,SU,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engl1/6141.vresize.36.36.medium.0.png,False,,,,EPL
134,tottenham-hotspur,TOT,11/23,AT,WHU,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6143.vresize.36.36.medium.0.png,False,,,,EPL
135,bayern-munich,BM,8/24,AT,SKE,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/6125.vresize.36.36.medium.0.png,True,W,3,0,Bund
136,bayern-munich,BM,8/31,VS,MAI,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/6135.vresize.36.36.medium.0.png,True,W,6,1,Bund
137,bayern-munich,BM,9/14,AT,RBL,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/24066.vresize.36.36.medium.0.png,True,D,1,1,Bund
138,bayern-munich,BM,9/18,VS,RSB,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/ucl/7486.vresize.36.36.medium.0.png,True,W,3,0,UCL
139,bayern-munich,BM,9/21,VS,KLN,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/7164.vresize.36.36.medium.0.png,True,W,4,0,Bund
140,bayern-munich,BM,9/28,AT,PAD,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/8291.vresize.36.36.medium.0.png,False,,,,Bund
141,bayern-munich,BM,10/1,AT,TOT,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6154.vresize.36.36.medium.0.png,False,,,,UCL
142,bayern-munich,BM,10/5,VS,HOF,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/8288.vresize.36.36.medium.0.png,False,,,,Bund
143,bayern-munich,BM,10/19,AT,AUG,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/8285.vresize.36.36.medium.0.png,False,,,,Bund
144,bayern-munich,BM,10/22,AT,OLY,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/europa/6449.vresize.36.36.medium.0.png,False,,,,UCL
145,bayern-munich,BM,10/26,VS,UB,https://b.fssta.com/uploads/application/bigboard/soccer/defaultTeamLogo.png,False,,,,Bund
146,bayern-munich,BM,10/29,AT,BOC,https://b.fssta.com/uploads/application/bigboard/soccer/defaultTeamLogo.png,False,,,,DFB PKL
147,bayern-munich,BM,11/2,AT,EF,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/6124.vresize.36.36.medium.0.png,False,,,,Bund
148,bayern-munich,BM,11/6,VS,OLY,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/europa/6449.vresize.36.36.medium.0.png,False,,,,UCL
149,bayern-munich,BM,11/9,VS,DOR,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/bundesliga/retina/6122.vresize.36.36.medium.0.png,False,,,,Bund
